Key,Reviewed By,Human Key,Year,Author,Title,Publication Title,DOI,lat_min,lat_max,lon_min,lon_max,Area,Country,Geographic Notes,Data Type,Type of Study,Category,Relevant,Study Description,Scientific Notes,Notes of technical interest,DatasetKey,Dataset Number,Type,Archive Location,Freely Available?,Archive Name,"Survey Name, Program/mission, Company",Link archive,Acquisition Start Year,Acquisition End Year,Camera Calibration,Flight Height [m],Height reference,GSD [m],Scale,Scanner resolution,Scanner resolution units,No. Images,Satellite type,Camera type,Original Media,Dataset Notes,new.accuracy,Method,Software,Version,GCPs,Fiducial Marks,Pre-processing,Simplified Pre-processing Note,Geometric Pre-processing,Radiometric Pre-processing,geometric_radiometric_both,Pre-processing Note,Workflow Note,Related paper,Output,Orthophoto resolution [m],DEM resolution [m],Output Notes,Accuracy Key,Ground control source XY,Ground control source Z,Ground control source group,Ground control accuracy [m] X,Ground control accuracy [m] Y,Ground control accuracy [m] Z,Ground control accuracy [m] XY,Ground control accuracy [m] XYZ,Ground control accuracy [m] avg,No. GCPs,No. GCPs simplified,Residuals to GCPs [m] X,Residuals to GCPs [m] Y,Residuals to GCPs [m] Z,Residuals to GCPs [m] XY,Residuals to GCPs [m] XYZ,Residuals to GCPs [m] avg,No. CPs,Residuals to CPs [m] X,Residuals to CPs [m] Y,Residuals to CPs [m] Z,Residuals to CPs [m] XY,Residuals to CPs [m] XYZ,Residuals to CPs [m] avg,Comparison data,Comparison data simplified,Source comparison data,Comparison source group,Accuracy comparison data [m] X,Accuracy comparison data [m] Y,Accuracy comparison data [m] Z,Accuracy comparison data [m] XY,Accuracy comparison data [m] XYZ,Accuracy comparison [m] avg,Residuals to comparison [m] X,Residuals to comparison [m] Y,Residuals to comparison [m] Z,Residuals to comparison [m] XY,Residuals to comparison [m] XYZ,Residuals to comparison [m] avg,Comparison Metric,Post-Processing,Notes,Accuracy comparison data [m] avg
96JUIQK7,Livia,"Gomez et al. 2015, Geomorphology (96JUIQK7)",2015,Gomez et al.,A study of Japanese landscapes using structure from motion derived DSMs and DEMs based on historical aerial photographs: New opportunities for vegetation monitoring and diachronic geomorphology,Geomorphology,10.1016/j.geomorph.2015.02.021,31.54673,31.63185,130.57902,130.73016,100.0,Japan,"Sakurajima Volcano, Kagoshima Prefecture, Japan",Aerial,Application,Geomorphology,yes,"Vegetation monitoring, geomorphology and volcano ",NA,NA,96JUIQK7.4,4.0,Aerial,Japan,yes,Geospatial Information Authority of Japan,NA,NA,2006.0,2006.0,not specified,4600.0,NA,NA,1:30000,NA,NA,21.0,NA,NA,NA,Leica RC30,yes,SfM+MVS,Agisoft Photoscan Professional,NA,yes,no,yes,"masking (inscription, moving objects)","masking (metadata, moving objects)",NA,NA,"mask  lateral inscriptions and moving objiects, addign GCPs",standard agisoft workflow ,NA,3D (point cloud/DEM),NA,NA,NA,96JUIQK7.4.1,GPS,GPS,point-based,NA,NA,NA,NA,NA,NA,14,14.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DEM (10m),DEM,NA,area-based,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96JUIQK7,Livia,"Gomez et al. 2015, Geomorphology (96JUIQK7)",2015,Gomez et al.,A study of Japanese landscapes using structure from motion derived DSMs and DEMs based on historical aerial photographs: New opportunities for vegetation monitoring and diachronic geomorphology,Geomorphology,10.1016/j.geomorph.2015.02.021,34.6251,34.7236,131.6362,131.8112,250.0,Japan,"Yamaguchi Prefecture, Japan",Aerial,Application,Geomorphology,yes,"Vegetation monitoring, geomorphology and volcano ",NA,NA,96JUIQK7.4,4.0,Aerial,Japan,yes,Geospatial Information Authority of Japan,NA,NA,2006.0,2006.0,not specified,4600.0,NA,NA,1:30000,NA,NA,21.0,NA,NA,NA,Leica RC30,yes,SfM+MVS,Agisoft Photoscan Professional,NA,yes,no,yes,"masking (inscription, moving objects)","masking (metadata, moving objects)",NA,NA,"mask  lateral inscriptions and moving objiects, addign GCPs",standard agisoft workflow ,NA,3D (point cloud/DEM),NA,NA,NA,96JUIQK7.4.1,GPS,GPS,point-based,NA,NA,NA,NA,NA,NA,14,14.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DEM (10m),DEM,NA,area-based,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96JUIQK7,Livia,"Gomez et al. 2015, Geomorphology (96JUIQK7)",2015,Gomez et al.,A study of Japanese landscapes using structure from motion derived DSMs and DEMs based on historical aerial photographs: New opportunities for vegetation monitoring and diachronic geomorphology,Geomorphology,10.1016/j.geomorph.2015.02.021,37.564,37.648,139.697,139.8145,25.0,Japan,"Tadami River, Fukushima Prefecture, Japan",Aerial,Application,Geomorphology,yes,"Vegetation monitoring, geomorphology and volcano ",NA,NA,96JUIQK7.3,3.0,Aerial,Japan,yes,Geospatial Information Authority of Japan,NA,NA,1996.0,1996.0,not specified,3900.0,NA,NA,1:25000,NA,NA,34.0,NA,NA,NA,Leica RC20,yes,SfM+MVS,Agisoft Photoscan Professional,NA,yes,no,yes,"masking (inscription, moving objects)","masking (metadata, moving objects)",NA,NA,"mask  lateral inscriptions and moving objiects, addign GCPs",standard agisoft workflow ,NA,3D (point cloud/DEM),NA,NA,NA,96JUIQK7.3.1,GPS,GPS,point-based,NA,NA,NA,NA,NA,NA,14,14.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DEM (10m),DEM,NA,area-based,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96JUIQK7,Livia,"Gomez et al. 2015, Geomorphology (96JUIQK7)",2015,Gomez et al.,A study of Japanese landscapes using structure from motion derived DSMs and DEMs based on historical aerial photographs: New opportunities for vegetation monitoring and diachronic geomorphology,Geomorphology,10.1016/j.geomorph.2015.02.021,31.54673,31.63185,130.57902,130.73016,100.0,Japan,"Sakurajima Volcano, Kagoshima Prefecture, Japan",Aerial,Application,Geomorphology,yes,"Vegetation monitoring, geomorphology and volcano ",NA,NA,96JUIQK7.1,1.0,Aerial,Japan,yes,Geospatial Information Authority of Japan,NA,NA,1966.0,1966.0,not specified,3500.0,NA,NA,1:20000,NA,NA,36.0,NA,NA,NA,Leica RC8,yes,SfM+MVS,Agisoft Photoscan Professional,NA,yes,no,yes,"masking (inscription, moving objects)","masking (metadata, moving objects)",NA,NA,"mask  lateral inscriptions and moving objiects, addign GCPs",standard agisoft workflow ,NA,3D (point cloud/DEM),NA,NA,NA,96JUIQK7.1.1,GPS,GPS,point-based,NA,NA,NA,NA,NA,NA,14,14.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DEM (10m),DEM,NA,area-based,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96JUIQK7,Livia,"Gomez et al. 2015, Geomorphology (96JUIQK7)",2015,Gomez et al.,A study of Japanese landscapes using structure from motion derived DSMs and DEMs based on historical aerial photographs: New opportunities for vegetation monitoring and diachronic geomorphology,Geomorphology,10.1016/j.geomorph.2015.02.021,37.564,37.648,139.697,139.8145,25.0,Japan,"Tadami River, Fukushima Prefecture, Japan",Aerial,Application,Geomorphology,yes,"Vegetation monitoring, geomorphology and volcano ",NA,NA,96JUIQK7.1,1.0,Aerial,Japan,yes,Geospatial Information Authority of Japan,NA,NA,1966.0,1966.0,not specified,3500.0,NA,NA,1:20000,NA,NA,36.0,NA,NA,NA,Leica RC8,yes,SfM+MVS,Agisoft Photoscan Professional,NA,yes,no,yes,"masking (inscription, moving objects)","masking (metadata, moving objects)",NA,NA,"mask  lateral inscriptions and moving objiects, addign GCPs",standard agisoft workflow ,NA,3D (point cloud/DEM),NA,NA,NA,96JUIQK7.1.1,GPS,GPS,point-based,NA,NA,NA,NA,NA,NA,14,14.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DEM (10m),DEM,NA,area-based,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96JUIQK7,Livia,"Gomez et al. 2015, Geomorphology (96JUIQK7)",2015,Gomez et al.,A study of Japanese landscapes using structure from motion derived DSMs and DEMs based on historical aerial photographs: New opportunities for vegetation monitoring and diachronic geomorphology,Geomorphology,10.1016/j.geomorph.2015.02.021,34.6251,34.7236,131.6362,131.8112,250.0,Japan,"Yamaguchi Prefecture, Japan",Aerial,Application,Geomorphology,yes,"Vegetation monitoring, geomorphology and volcano ",NA,NA,96JUIQK7.1,1.0,Aerial,Japan,yes,Geospatial Information Authority of Japan,NA,NA,1966.0,1966.0,not specified,3500.0,NA,NA,1:20000,NA,NA,36.0,NA,NA,NA,Leica RC8,yes,SfM+MVS,Agisoft Photoscan Professional,NA,yes,no,yes,"masking (inscription, moving objects)","masking (metadata, moving objects)",NA,NA,"mask  lateral inscriptions and moving objiects, addign GCPs",standard agisoft workflow ,NA,3D (point cloud/DEM),NA,NA,NA,96JUIQK7.1.1,GPS,GPS,point-based,NA,NA,NA,NA,NA,NA,14,14.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DEM (10m),DEM,NA,area-based,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96JUIQK7,Livia,"Gomez et al. 2015, Geomorphology (96JUIQK7)",2015,Gomez et al.,A study of Japanese landscapes using structure from motion derived DSMs and DEMs based on historical aerial photographs: New opportunities for vegetation monitoring and diachronic geomorphology,Geomorphology,10.1016/j.geomorph.2015.02.021,31.54673,31.63185,130.57902,130.73016,100.0,Japan,"Sakurajima Volcano, Kagoshima Prefecture, Japan",Aerial,Application,Geomorphology,yes,"Vegetation monitoring, geomorphology and volcano ",NA,NA,96JUIQK7.3,3.0,Aerial,Japan,yes,Geospatial Information Authority of Japan,NA,NA,1996.0,1996.0,not specified,3900.0,NA,NA,1:25000,NA,NA,34.0,NA,NA,NA,Leica RC20,yes,SfM+MVS,Agisoft Photoscan Professional,NA,yes,no,yes,"masking (inscription, moving objects)","masking (metadata, moving objects)",NA,NA,"mask  lateral inscriptions and moving objiects, addign GCPs",standard agisoft workflow ,NA,3D (point cloud/DEM),NA,NA,NA,96JUIQK7.3.1,GPS,GPS,point-based,NA,NA,NA,NA,NA,NA,14,14.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DEM (10m),DEM,NA,area-based,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96JUIQK7,Livia,"Gomez et al. 2015, Geomorphology (96JUIQK7)",2015,Gomez et al.,A study of Japanese landscapes using structure from motion derived DSMs and DEMs based on historical aerial photographs: New opportunities for vegetation monitoring and diachronic geomorphology,Geomorphology,10.1016/j.geomorph.2015.02.021,37.564,37.648,139.697,139.8145,25.0,Japan,"Tadami River, Fukushima Prefecture, Japan",Aerial,Application,Geomorphology,yes,"Vegetation monitoring, geomorphology and volcano ",NA,NA,96JUIQK7.4,4.0,Aerial,Japan,yes,Geospatial Information Authority of Japan,NA,NA,2006.0,2006.0,not specified,4600.0,NA,NA,1:30000,NA,NA,21.0,NA,NA,NA,Leica RC30,yes,SfM+MVS,Agisoft Photoscan Professional,NA,yes,no,yes,"masking (inscription, moving objects)","masking (metadata, moving objects)",NA,NA,"mask  lateral inscriptions and moving objiects, addign GCPs",standard agisoft workflow ,NA,3D (point cloud/DEM),NA,NA,NA,96JUIQK7.4.1,GPS,GPS,point-based,NA,NA,NA,NA,NA,NA,14,14.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DEM (10m),DEM,NA,area-based,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96JUIQK7,Livia,"Gomez et al. 2015, Geomorphology (96JUIQK7)",2015,Gomez et al.,A study of Japanese landscapes using structure from motion derived DSMs and DEMs based on historical aerial photographs: New opportunities for vegetation monitoring and diachronic geomorphology,Geomorphology,10.1016/j.geomorph.2015.02.021,31.54673,31.63185,130.57902,130.73016,100.0,Japan,"Sakurajima Volcano, Kagoshima Prefecture, Japan",Aerial,Application,Geomorphology,yes,"Vegetation monitoring, geomorphology and volcano ",NA,NA,96JUIQK7.2,2.0,Aerial,Japan,yes,Geospatial Information Authority of Japan,NA,NA,1976.0,1976.0,not specified,2000.0,NA,NA,1:10000,NA,NA,64.0,NA,NA,NA,Leica RC8,yes,SfM+MVS,Agisoft Photoscan Professional,NA,yes,no,yes,"masking (inscription, moving objects)","masking (metadata, moving objects)",NA,NA,"mask  lateral inscriptions and moving objiects, addign GCPs",standard agisoft workflow ,NA,3D (point cloud/DEM),NA,NA,NA,96JUIQK7.2.1,GPS,GPS,point-based,NA,NA,NA,NA,NA,NA,14,14.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DEM (10m),DEM,NA,area-based,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96JUIQK7,Livia,"Gomez et al. 2015, Geomorphology (96JUIQK7)",2015,Gomez et al.,A study of Japanese landscapes using structure from motion derived DSMs and DEMs based on historical aerial photographs: New opportunities for vegetation monitoring and diachronic geomorphology,Geomorphology,10.1016/j.geomorph.2015.02.021,37.564,37.648,139.697,139.8145,25.0,Japan,"Tadami River, Fukushima Prefecture, Japan",Aerial,Application,Geomorphology,yes,"Vegetation monitoring, geomorphology and volcano ",NA,NA,96JUIQK7.2,2.0,Aerial,Japan,yes,Geospatial Information Authority of Japan,NA,NA,1976.0,1976.0,not specified,2000.0,NA,NA,1:10000,NA,NA,64.0,NA,NA,NA,Leica RC8,yes,SfM+MVS,Agisoft Photoscan Professional,NA,yes,no,yes,"masking (inscription, moving objects)","masking (metadata, moving objects)",NA,NA,"mask  lateral inscriptions and moving objiects, addign GCPs",standard agisoft workflow ,NA,3D (point cloud/DEM),NA,NA,NA,96JUIQK7.2.1,GPS,GPS,point-based,NA,NA,NA,NA,NA,NA,14,14.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DEM (10m),DEM,NA,area-based,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96JUIQK7,Livia,"Gomez et al. 2015, Geomorphology (96JUIQK7)",2015,Gomez et al.,A study of Japanese landscapes using structure from motion derived DSMs and DEMs based on historical aerial photographs: New opportunities for vegetation monitoring and diachronic geomorphology,Geomorphology,10.1016/j.geomorph.2015.02.021,34.6251,34.7236,131.6362,131.8112,250.0,Japan,"Yamaguchi Prefecture, Japan",Aerial,Application,Geomorphology,yes,"Vegetation monitoring, geomorphology and volcano ",NA,NA,96JUIQK7.2,2.0,Aerial,Japan,yes,Geospatial Information Authority of Japan,NA,NA,1976.0,1976.0,not specified,2000.0,NA,NA,1:10000,NA,NA,64.0,NA,NA,NA,Leica RC8,yes,SfM+MVS,Agisoft Photoscan Professional,NA,yes,no,yes,"masking (inscription, moving objects)","masking (metadata, moving objects)",NA,NA,"mask  lateral inscriptions and moving objiects, addign GCPs",standard agisoft workflow ,NA,3D (point cloud/DEM),NA,NA,NA,96JUIQK7.2.1,GPS,GPS,point-based,NA,NA,NA,NA,NA,NA,14,14.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DEM (10m),DEM,NA,area-based,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4N97ZMU9,Livia,"Gonçalves 2016, ISPRS - International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences (4N97ZMU9)",2016,Gonçalves,Automatic orientation and mosaicking of archived aerial photography using structure from motion,"ISPRS - International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences",10.5194/isprs-archives-XL-3-W4-123-2016,0.0,0.0,0.0,0.0,NA,NA,methodological paper,Aerial,Processing,Methodology,yes,"methodology for orientation, orthorectification and mosaic",NA,NA,4N97ZMU9.1,1.0,Aerial,Portugal,yes,IGeoE Portuguese Army Geography Institute,NA,NA,1947.0,1947.0,computed,NA,NA,NA,1:30000,21.0,μm,24.0,NA,NA,NA,film size 23 by 23 cm and 152 mm lens,yes,SfM+MVS,Agisoft Photoscan Professional,2015,yes,no,yes,resampling (affine transformation),resize (all imgs to common extent),NA,NA,affine transformation: resampling of all photos all images have the same size and the same position with respect to the photographic coordinate system,Standard Agisoft workflow with GCPs,NA,3D (point cloud/DEM),NA,NA,DEM and ortho generated but resolution not reported,4N97ZMU9.1.1,Orthoimages,Topographic Maps,area-based,NA,NA,NA,NA,NA,NA,8,8.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4N97ZMU9,Livia,"Gonçalves 2016, ISPRS - International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences (4N97ZMU9)",2016,Gonçalves,Automatic orientation and mosaicking of archived aerial photography using structure from motion,"ISPRS - International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences",10.5194/isprs-archives-XL-3-W4-123-2016,0.0,0.0,0.0,0.0,NA,NA,methodological paper,Aerial,Processing,Methodology,yes,"methodology for orientation, orthorectification and mosaic",NA,NA,4N97ZMU9.2,2.0,Aerial,Portugal,yes,IGeoE Portuguese Army Geography Institute,NA,NA,1958.0,1958.0,computed,NA,NA,NA,NA,21.0,μm,8.0,NA,NA,NA,film size 23 by 23 cm and 152 mm lens,yes,SfM+MVS,Agisoft Photoscan Professional,2015,yes,no,yes,resampling (affine transformation),resize (all imgs to common extent),NA,NA,affine transformation: resampling of all photos all images have the same size and the same position with respect to the photographic coordinate system,Standard Agisoft workflow with GCPs,NA,3D (point cloud/DEM),NA,NA,DEM and ortho generated but resolution not reported,4N97ZMU9.2.1,Orthoimages,Topographic Maps,area-based,NA,NA,NA,NA,NA,NA,14,14.0,NA,NA,NA,NA,NA,NA,1183,NA,NA,4.7,NA,NA,8.141,CPs,NA,Topographic maps,point-based,NA,NA,NA,NA,NA,NA,NA,NA,4.7,NA,NA,8.141,RMSE,NA,NA,NA
TH6B9CR4,Melanie,"Goossens et al. 2006, Journal of Archaeological Science (TH6B9CR4)",2006,Goossens et al.,Satellite imagery and archaeology: the example of CORONA in the Altai Mountains,Journal of Archaeological Science,10.1016/j.jas.2005.10.010,49.993547,49.997627,88.531976,88.540182,600.0,Russia,"Kosh-Agatch region, Altai Mountains, South Siberia",Satellite,Both,Archeology,yes,extracted DEM after estimating image distortion from GCPs using GPS,NA,NA,TH6B9CR4.1,1.0,Satellite,USA,yes,USGS (United States Geological Survey),NA,NA,1970.0,1970.0,computed,NA,NA,NA,NA,8.0,μm,2.0,Corona (KH-4B),NA,NA,"DS1110-1152DA052, DS1110-1152DF046: CORONA KH-4B sensor, mission DS 1110-1, revolution 152 D, negatives A 052 (afterward image) and F 046 (forward image), 30 May 1970; Used Scanner: Vexcel Ultrascan 5000 (Institute of Photogrammetry & Geoinformation, Hannover",yes,Photogrammetric,"VirtuoZo, ILWIS","3.2, 3.0",yes,no,yes,NA,NA,NA,NA,NA,"GCPs measured by authors in the field (43 in 2003 and 48 in 2004); ILWIS 3.2 (for preprocessing), VirtuoZo V.3 (georeferencing & DSM+Ortho generation), self-calibration (distortion correction) via GCPs",NA,2D (georeferenced),NA,NA,DSM + Orthophoto + ContourMap produced (map was desired end product and has scale of 1:20.000),TH6B9CR4.1.1,dGNSS,dGNSS,point-based,NA,NA,0.9,0.4,NA,0.985,91,91.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ground control accuracy [m] XY given 0.3-0.5,NA
ISESFWSP,Bob,"Grottoli et al. 2021, Remote Sensing (ISESFWSP)",2021,Grottoli et al.,Structure-from-Motion-Derived Digital Surface Models from Historical Aerial Photographs: A New 3D Application for Coastal Dune Monitoring,Remote Sensing,10.3390/rs13010095,54.225544,54.253607,-5.865134,-5.832304,3.5,UK,"Dundrum Bay, Northern Ireland, UK",Aerial,Application,Geomorphology,yes,coastal dune monitoring,NA,NA,ISESFWSP.1,1.0,Aerial,UK,unclear,Ordnance Survey of Northern Ireland,NA,NA,1963.0,1963.0,computed,NA,NA,0.5,NA,1200.0,dpi,6.0,NA,NA,NA,NA,yes,SfM,Agisoft Professional,NA,yes,no,yes,masking (black border),masking (black border),NA,NA,Removed border using photoshop batch operation,NA,NA,3D (point cloud/DEM),0.5,0.5,NA,ISESFWSP.1.9,LiDAR DSM,LiDAR DSM,area-based,NA,NA,NA,NA,NA,NA,17,17.0,2.3,2.5,0.06,NA,NA,3.398,512,NA,NA,NA,NA,NA,NA,CPs,CPs,NA,point-based,NA,NA,0.1,0.1,NA,NA,NA,NA,1.114,NA,NA,1.93,RMSE,No filter + No DPC cleaning,NA,0.141
ISESFWSP,Bob,"Grottoli et al. 2021, Remote Sensing (ISESFWSP)",2021,Grottoli et al.,Structure-from-Motion-Derived Digital Surface Models from Historical Aerial Photographs: A New 3D Application for Coastal Dune Monitoring,Remote Sensing,10.3390/rs13010095,54.225544,54.253607,-5.865134,-5.832304,3.5,UK,"Dundrum Bay, Northern Ireland, UK",Aerial,Application,Geomorphology,yes,coastal dune monitoring,NA,NA,ISESFWSP.1,1.0,Aerial,UK,unclear,Ordnance Survey of Northern Ireland,NA,NA,1963.0,1963.0,computed,NA,NA,0.5,NA,1200.0,dpi,6.0,NA,NA,NA,NA,yes,SfM,Agisoft Professional,NA,yes,no,yes,masking (black border),masking (black border),NA,NA,Removed border using photoshop batch operation,NA,NA,3D (point cloud/DEM),0.5,0.5,NA,ISESFWSP.1.8,LiDAR DSM,LiDAR DSM,area-based,NA,NA,NA,NA,NA,NA,17,17.0,2.3,2.5,0.06,NA,NA,3.398,512,NA,NA,NA,NA,NA,NA,CPs,CPs,NA,point-based,NA,NA,0.1,0.1,NA,NA,NA,NA,0.998,NA,NA,1.729,RMSE,Aggressive filter + DPC cleaning (0-2 confidence values removed),NA,0.141
ISESFWSP,Bob,"Grottoli et al. 2021, Remote Sensing (ISESFWSP)",2021,Grottoli et al.,Structure-from-Motion-Derived Digital Surface Models from Historical Aerial Photographs: A New 3D Application for Coastal Dune Monitoring,Remote Sensing,10.3390/rs13010095,54.225544,54.253607,-5.865134,-5.832304,3.5,UK,"Dundrum Bay, Northern Ireland, UK",Aerial,Application,Geomorphology,yes,coastal dune monitoring,NA,NA,ISESFWSP.1,1.0,Aerial,UK,unclear,Ordnance Survey of Northern Ireland,NA,NA,1963.0,1963.0,computed,NA,NA,0.5,NA,1200.0,dpi,6.0,NA,NA,NA,NA,yes,SfM,Agisoft Professional,NA,yes,no,yes,masking (black border),masking (black border),NA,NA,Removed border using photoshop batch operation,NA,NA,3D (point cloud/DEM),0.5,0.5,NA,ISESFWSP.1.1,LiDAR DSM,LiDAR DSM,area-based,NA,NA,NA,NA,NA,NA,17,17.0,2.3,2.5,0.06,NA,NA,3.398,512,NA,NA,NA,NA,NA,NA,CPs,CPs,NA,point-based,NA,NA,0.1,0.1,NA,NA,NA,NA,0.929,NA,NA,1.609,RMSE,No filter + DPC cleaning (0-3 confidence values removed),NA,0.141
ISESFWSP,Bob,"Grottoli et al. 2021, Remote Sensing (ISESFWSP)",2021,Grottoli et al.,Structure-from-Motion-Derived Digital Surface Models from Historical Aerial Photographs: A New 3D Application for Coastal Dune Monitoring,Remote Sensing,10.3390/rs13010095,54.225544,54.253607,-5.865134,-5.832304,3.5,UK,"Dundrum Bay, Northern Ireland, UK",Aerial,Application,Geomorphology,yes,coastal dune monitoring,NA,NA,ISESFWSP.1,1.0,Aerial,UK,unclear,Ordnance Survey of Northern Ireland,NA,NA,1963.0,1963.0,computed,NA,NA,0.5,NA,1200.0,dpi,6.0,NA,NA,NA,NA,yes,SfM,Agisoft Professional,NA,yes,no,yes,masking (black border),masking (black border),NA,NA,Removed border using photoshop batch operation,NA,NA,3D (point cloud/DEM),0.5,0.5,NA,ISESFWSP.1.7,LiDAR DSM,LiDAR DSM,area-based,NA,NA,NA,NA,NA,NA,17,17.0,2.3,2.5,0.06,NA,NA,3.398,512,NA,NA,NA,NA,NA,NA,CPs,CPs,NA,point-based,NA,NA,0.1,0.1,NA,NA,NA,NA,0.989,NA,NA,1.713,RMSE,Moderate filter + DPC cleaning (0-2 confidence values removed),NA,0.141
ISESFWSP,Bob,"Grottoli et al. 2021, Remote Sensing (ISESFWSP)",2021,Grottoli et al.,Structure-from-Motion-Derived Digital Surface Models from Historical Aerial Photographs: A New 3D Application for Coastal Dune Monitoring,Remote Sensing,10.3390/rs13010095,54.225544,54.253607,-5.865134,-5.832304,3.5,UK,"Dundrum Bay, Northern Ireland, UK",Aerial,Application,Geomorphology,yes,coastal dune monitoring,NA,NA,ISESFWSP.1,1.0,Aerial,UK,unclear,Ordnance Survey of Northern Ireland,NA,NA,1963.0,1963.0,computed,NA,NA,0.5,NA,1200.0,dpi,6.0,NA,NA,NA,NA,yes,SfM,Agisoft Professional,NA,yes,no,yes,masking (black border),masking (black border),NA,NA,Removed border using photoshop batch operation,NA,NA,3D (point cloud/DEM),0.5,0.5,NA,ISESFWSP.1.6,LiDAR DSM,LiDAR DSM,area-based,NA,NA,NA,NA,NA,NA,17,17.0,2.3,2.5,0.06,NA,NA,3.398,512,NA,NA,NA,NA,NA,NA,CPs,CPs,NA,point-based,NA,NA,0.1,0.1,NA,NA,NA,NA,1.05,NA,NA,1.819,RMSE,Mild filter + DPC cleaning (0-2 confidence values removed),NA,0.141
ISESFWSP,Bob,"Grottoli et al. 2021, Remote Sensing (ISESFWSP)",2021,Grottoli et al.,Structure-from-Motion-Derived Digital Surface Models from Historical Aerial Photographs: A New 3D Application for Coastal Dune Monitoring,Remote Sensing,10.3390/rs13010095,54.225544,54.253607,-5.865134,-5.832304,3.5,UK,"Dundrum Bay, Northern Ireland, UK",Aerial,Application,Geomorphology,yes,coastal dune monitoring,NA,NA,ISESFWSP.1,1.0,Aerial,UK,unclear,Ordnance Survey of Northern Ireland,NA,NA,1963.0,1963.0,computed,NA,NA,0.5,NA,1200.0,dpi,6.0,NA,NA,NA,NA,yes,SfM,Agisoft Professional,NA,yes,no,yes,masking (black border),masking (black border),NA,NA,Removed border using photoshop batch operation,NA,NA,3D (point cloud/DEM),0.5,0.5,NA,ISESFWSP.1.5,LiDAR DSM,LiDAR DSM,area-based,NA,NA,NA,NA,NA,NA,17,17.0,2.3,2.5,0.06,NA,NA,3.398,512,NA,NA,NA,NA,NA,NA,CPs,CPs,NA,point-based,NA,NA,0.1,0.1,NA,NA,NA,NA,1.069,NA,NA,1.852,RMSE,No filter + DPC cleaning (0-2 confidence values removed),NA,0.141
